Fulltime_score_home_predicted,Fulltime_score_away_predicted,Halftime_score_home_predicted,Halftime_score_away_predicted,Home_team,Away_team,Date_time,Venue,Fulltime_score_home,Fulltime_score_away,Halftime_score_home,Halftime_score_away,wx_temp_c,wx_precip_mm,wx_wind_kph,wx_weathercode,wx_summary,time_bucket,is_in_south_africa,is_main_home_stadium
,,,,Leinster,Edinburgh,2026-01-31 19:30:00,Aviva Stadium,,,,,,,,,,late_afternoon,False,True
,,,,Ospreys,Dragons RFC,2026-01-31 21:45:00,Brewery Field,,,,,,,,,,evening,False,False
,,,,Ulster,Cardiff,2026-01-31 21:45:00,Affidea Stadium,,,,,,,,,,evening,False,True
,,,,Lions,Sharks,2026-02-21 14:00:00,Ellis Park,,,,,,,,,,early_afternoon,True,True
,,,,Edinburgh,Scarlets,2026-02-27 21:45:00,Hive Stadium,,,,,,,,,,evening,False,True
,,,,Cardiff,Leinster,2026-02-27 21:45:00,Cardiff Arms Park,,,,,,,,,,evening,False,True
,,,,Lions,Stormers,2026-02-28 14:30:00,Ellis Park,,,,,,,,,,early_afternoon,True,True
,,,,Bulls,Sharks,2026-02-28 17:00:00,Loftus Versfeld,,,,,,,,,,late_afternoon,True,True
,,,,Connacht,Glasgow Warriors,2026-02-28 17:00:00,Dexcom Stadium,,,,,,,,,,late_afternoon,False,True
,,,,Munster,Zebre,2026-02-28 19:30:00,Thomond Park,,,,,,,,,,late_afternoon,False,True
,,,,Dragons RFC,Benetton,2026-02-28 19:30:00,Rodney Parade,,,,,,,,,,late_afternoon,False,True
,,,,Ospreys,Ulster,2026-02-28 21:45:00,Brewery Field,,,,,,,,,,evening,False,False
,,,,Bulls,Stormers,2026-03-14 14:00:00,Loftus Versfeld,,,,,,,,,,early_afternoon,True,True
,,,,Bulls,Cardiff,2026-03-20 19:00:00,Loftus Versfeld,,,,,,,,,,evening,True,True
,,,,Scarlets,Zebre,2026-03-20 21:45:00,Parc y Scarlets,,,,,,,,,,evening,False,True
