Home_team,Away_team,Date_time,Venue,Fulltime_score_home,Fulltime_score_away,Halftime_score_home,Halftime_score_away,wx_temp_c,wx_precip_mm,wx_wind_kph,wx_weathercode,wx_summary
Ospreys,Edinburgh,"Sat 26th October 2024, 04:00pm SAST",Brewery Field,22,13,7,10,14.2,0.0,21.2,0,Clear
Sharks,Munster,"Sat 26th October 2024, 04:00pm SAST",Hollywoodbets Kings Park,41,24,31,10,21.4,0.0,34.9,1,Mainly clear
Leinster,Lions,"Sat 26th October 2024, 06:15pm SAST",Aviva Stadium,24,6,10,6,13.6,0.0,64.4,1,Mainly clear
Cardiff,Ulster,"Sat 26th October 2024, 08:35pm SAST",Cardiff Arms Park,21,19,0,19,9.9,0.0,13.3,0,Clear
Connacht,Dragons RFC,"Sat 26th October 2024, 08:35pm SAST",Dexcom Stadium,31,7,19,0,9.0,0.0,37.4,0,Clear
Ulster,Leinster,"Fri 29th November 2024, 09:35pm SAST",Affidea Stadium,20,27,13,10,12.4,0.3,101.2,51,Drizzle: light
Glasgow Warriors,Scarlets,"Fri 29th November 2024, 09:35pm SAST",Scotstoun Stadium,17,15,7,8,9.0,0.7,71.3,53,Drizzle: moderate
Sharks,Stormers,"Sat 30th November 2024, 05:00pm SAST",Hollywoodbets Kings Park,21,15,14,3,24.5,0.0,53.6,0,Clear
Cardiff,Dragons RFC,"Sat 30th November 2024, 07:15pm SAST",Cardiff Arms Park,31,23,17,9,13.1,0.0,57.6,3,Overcast
Connacht,Bulls,"Sat 30th November 2024, 07:30pm SAST",Dexcom Stadium,14,28,0,14,14.4,0.0,144.7,3,Overcast
Edinburgh,Benetton,"Sat 30th November 2024, 09:35pm SAST",Hive Stadium,50,33,35,0,13.2,0.0,108.0,3,Overcast
Zebre,Ospreys,"Sat 30th November 2024, 09:35pm SAST",Stadio Sergio Lanfranchi,22,17,12,10,5.3,0.0,5.4,0,Clear
Munster,Lions,"Sat 30th November 2024, 09:35pm SAST",Thomond Park,17,10,7,10,13.5,0.6,106.6,53,Drizzle: moderate
Ulster,Munster,"Fri 20th December 2024, 09:35pm SAST",Affidea Stadium,19,22,7,5,7.0,0.0,70.2,2,Partly cloudy
Benetton,Zebre,"Sat 21st December 2024, 03:00pm SAST",Stadio Comunale di Monigo,11,10,5,3,7.6,0.0,8.3,0,Clear
Stormers,Lions,"Sat 21st December 2024, 03:45pm SAST",DHL Stadium,29,10,15,0,24.7,0.0,95.8,0,Clear
